PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39652796,"Guanidine Derivative ADS1017, a Potent Histamine H(3) Receptor Antagonist with Promising Analgesic Activity and Satisfactory Safety Profile.",2024-12-18,Calmels T,"Bioprojet-Biotech, 4rue du Chesnay Beauregard, Saint-Gregoire Cedex 35762, France.",Not available
39652349,Physician Reasons for or Against Treatment Intensification in Patients With Metastatic Prostate Cancer.,2024-12-02,Emir B; Russell D; Hong A; Ramaswamy K,"Pfizer Inc, New York, New York.",Not available
39652156,Efficacy and safety of mosunetuzumab monotherapy for Japanese patients with relapsed/refractory follicular lymphoma: FLMOON-1.,2024-12-09,Kawasaki A; Sato J; Teshima T,"Chugai Pharmaceutical Co., Ltd, Tokyo, Japan.","Department of Hematology, Faculty of Medicine and Graduate School of Medicine, Hokkaido University, Hokkaido, Japan. hidekigt@med.hokudai.ac.jp."
39652037,Evidence-based guideline: Premature Ovarian Insufficiency.,2024-12-06,Misrahi M,"Universite Paris Saclay, Faculte de Medecine, Hopital Bicetre, Le Kremlin Bicetre, France.","Queen Charlotte's and Chelsea Hospital, Imperial College London, UK. Electronic address: nickpanay@msn.com."
39651850,"Safety, Pharmacokinetics, and Pharmacodynamics of a First-in-Class ClC-1 Inhibitor to Enhance Muscle Excitability: Phase I Randomized Controlled Trial.",2024-12-09,Gronnebaek TS; Jensen KG; Chin E; Quiroz JA; Petersen TK; Flagstad P; de Kam ML; van Esdonk MJ,"NMD Pharma A/S, Aarhus N, Denmark.",Not available
39651464,Defining methods to improve eSource site start-up practices.,2024-01-01,Cramer AE; King LS; Casteleyn P; Vattikola A,"Astellas Pharma, Northbrook, IL, USA.; Johnson & Johnson Innovative Medicine, Beerse, BE, USA.; Johnson & Johnson Innovative Medicine, Titusville, NJ, USA.; Merck & Co., Inc., Rahway, NJ, USA.",Not available
39649165,Revisiting the Plasmodium falciparum druggable genome using predicted structures and data mining.,2024-11-26,Moura IMR,Universidade de Sao Paulo.,Not available
39649038,Plain Language Summary of Publication: Does crushing vibegron 75 mg tablet affect its safety or the amount of vibegron in the body over time in healthy adults?,2024-01-01,King J; Owens-Grillo J,"Sumitomo Pharma America, Inc, Marlborough, MA, USA.",Not available
39648942,Risk Factors Associated With Major Adverse Cardiovascular Events and Malignancies in Patients With Rheumatoid Arthritis in a Real-World Setting in Japan.,2024-01-01,Sugiyama N; Hoshi M; Jo JY; Hirano T,"Pfizer Japan Inc, Tokyo, Japan.; Pfizer Pharmaceuticals Korea Ltd, Seoul, South Korea.",Not available
39648195,A Retrospective Claims Data Analysis on the Burden of COVID-19-Related Hospitalization in Adults at High Risk for Severe Disease Progression in Germany.,2024-12-08,Schnaidt S; Bihrer N; Froling E; Jacob C; Kisser A,"Pfizer Pharma GmbH, Berlin, Germany.; Xcenda GmbH, Part of Cencora Inc., Lange Laube 31, 30159, Hannover, Germany.","Xcenda GmbH, Part of Cencora Inc., Lange Laube 31, 30159, Hannover, Germany. timotheus.stremel@cencora.com."
39648106,"Efficacy and safety of risankizumab versus methotrexate in patients with moderate-to-severe plaque psoriasis: results from IMMbrace, a randomized, double-blind, phase 3 study with an open-label extension period in Brazil.",2024-12-07,Souza CDS; Antonio JR; Kalabic J,"AbbVie Deutschland GmbH & Co. KG, Ludwigshafen, Germany.; Discipline of Dermatology, Faculdade Estadual de Medicina de Sao Jose do Rio Preto, Sao Jose do Rio Preto, SP, Brazil.; Division of Dermatology, Faculdade de Medicina de Ribeirao Preto, Universidade de Sao Paulo, Ribeirao Preto, SP, Brazil.","Department of Dermatology, Hospital de Clinicas de Porto Alegre, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil. Electronic address: tcestari@hcpa.edu.br."
39647958,Astragalus polysaccharide/carboxymethyl chitosan/sodium alginate based electroconductive hydrogels for diabetic wound healing and muscle function assessment.,2025-02-15,Vairo C; Lafuente EG,"Biosasun S.A., Ctra. Allo-Arroniz Km1, Navarra 31263, Spain.",Not available
39647502,International consensus statement on microbiome testing in clinical practice.,2024-12-05,Guarner F,"Centro Medico Teknon, Barcelona, Spain.",Not available
39647216,"An international survey on the knowledge, attitudes and clinical patterns of use of medical cannabis for cancer care: The TASMAN study.",2025-01-17,Gandini S; Altuna SC; Girardi F,"Experimental Oncology, IRCCS IEO, Italy.; Oncology 2, Istituto Oncologico Veneto IOV IRCCS, Padova, Italy.; Oncomedica C.A, Caracas, Venezuela.",Not available
39645514,Evaluation of clinical events and costs associated with the addition of dapagliflozin to chronic kidney disease treatment: Cost offset analysis.,2024-01-01,Navarro-Gonzalez JF; Cebrian Cuenca A; Pimentel B; Pomares Mallol E; Caudron C,"Departamento Medico, AstraZeneca, Madrid, Spain.; Departamento de Acceso al Mercado, PharmaLex Spain, Barcelona, Spain.; Facultad de Ciencias de la Salud, Universidad Pernando Pessoa Canarias, Las Palmas de Gran Canaria, Spain.; Grupo de Atencion Primaria, Instituto Murciano de Investigacion Biosanitaria (IMIB), Murcia, Spain.; Instituto de Tecnologias Biomedicas, Universidad de La Laguna, Tenerife, Spain; Medicina Familiar y Comunitaria, Centro de Salud Cartagena Casco Antiguo, Cartagena, Murcia, Spain; RICORS2040 (Kidney Disease), Instituto de Salud Carlos III, Madrid, Spain; Unidad de Investigacion y Servicio de Nefrologia, Hospital Universitario Ntra. Sra. de Candelaria, Tenerife, Spain",Not available
39645511,"Cardiovascular-kidney-metabolic syndrome definition and its role in the prevention, risk staging, and treatment. An opportunity for the Nephrology.",2024-01-01,Ortiz A,"Red de Investigacion Cooperativa Orientada a Resultados en Salud b0d0 (RICORSb0d0), Madrid, Spain.; Servicio de Nefrologia e Hipertension, Instituto de Investigacion Sanitaria Fundacion Jimenez Diaz (iiS-FJD), Madrid, Spain; Universidad Autonoma de Madrid, Madrid, Spain",Not available
39645042,A genome-wide association meta-analysis links hidradenitis suppurativa to common and rare sequence variants causing disruption of the Notch and Wnt/beta-catenin signaling pathways.,2024-12-05,Stefansdottir L; Halldorsson G; Ferkingstad E; Oddsson A; Walters B; Olafsdottir TA; Rutsdottir G; Ullum H; Saemundsdottir J; Melsted P; Norddahl GL; Sulem P; Stefansson H; Holm H; Gudbjartsson D; Thorleifsson G; Jonsdottir I; Stefansson K,"Faculty of Medicine, University of Iceland, Reykjavik, Iceland.; School of Engineering and Natural Sciences, University of Iceland, Reykjavik, Iceland.; Statens Serum Institut, Copenhagen, Denmark.; deCODE Genetics/Amgen, Inc, Reykjavik, Iceland; deCODE Genetics/Amgen, Inc, Reykjavik, Iceland.","Department of Immunology and Microbiology, Leo Foundation Skin Immunology Research Center, University of Copenhagen, Copenhagen, Denmark. Electronic address: rune.andersen@sund.ku.dk."
39644770,"Biological, as opposed to classic antipsoriatic drug or apremilast, treatment mitigates the risk of death and cardiovascular disease in psoriasis.",2024-12-06,Hernandez G,"Biomedical Informatics Group, Artificial Intelligence Department, E.T.S.I. Informaticos, Universidad Politecnica de Madrid, Spain.; TriNetX, LLC, Cambridge, MA, USA",Not available
39643906,Is the use of antibiotic stewardship measures in the context of specialized outpatient palliative care sensible and feasible? An interview-based study.,2024-12-07,Schmidt J; Hitzenbichler F,"MVZ Dr. Vehling-Kaiser GmbH, Landshut, Germany.","Clinic and Polyclinic for Internal Medicine III, University Hospital Regensburg, Franz-Josef-Strauss-Allee 11, 93053, Regensburg, Germany. ulrich.kaiser@ukr.de."
39643843,Bacteremic nosocomial pneumonia caused by Gram-negative bacilli: results from the nationwide ALARICO study in Italy.,2024-12-06,Corbo L; Morana D; Menichetti F,"Italian Group for Antimicrobial Stewardship (GISA), Pisa, Italy.; Medicina Interna MIAMA, Ospedale S. Maria della Misericordia, Perugia, Italy.; Medicina per la complessita assistenziale 1 AOU Careggi, Florence, Italy.",Not available
39643613,Immunotherapy for hormone receptor‒positive HER2-negative breast cancer.,2024-12-06,Hirshfield KM; Kraynyak KA; Tryfonidis K,"Merck & Co., Inc., Rahway, NJ, USA.","Breast Unit, Champalimaud Clinical Center/Champalimaud Foundation, Lisbon, Portugal. fatimacardoso@fundacaochampalimaud.pt."
39643074,Subretinal Gene Therapy Drug AGTC-501 for XLRP Phase 1/2 Multicenter Study (HORIZON): 24-Month Safety and Efficacy Results: Subretinal Gene Therapy AGTC-501 for XLRP Ph 1/2 24M Results.,2024-12-04,Anand R; Yaghy A; Scaria A; Jung J; Curtiss D; Waheed NK,"Astellas Pharma US, Inc., Northbrook, Illinois, USA; Astellas Pharma US, Inc., Northbrook, Illinois, USA.; Texas Retina Associates, Dallas, TX, USA.",Not available
39642931,Supervised Automated Kinetic Perimetry (SAKP) Using Simulated Visual Field Data - Presentation of a New Examination Technique.,2024-12-06,Zobor D,"Blickshift GmbH, Stuttgart, Deutschland.",Not available
39642873,The respiratory microbiome is linked to the severity of RSV infections and the persistence of symptoms in children.,2024-12-17,Martinon-Torres F; Aerssen J,"Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias (CIBERES), Madrid, Spain; Genetics, Vaccines, and Infectious Diseases Research Group (GENvip, www.genvip.eu), Instituto de Investigacion Sanitaria de Santiago, Universidad de Santiago de Compostela, Galicia, Spain; Janssen Pharmaceutica, Beerse, Belgium.; Translational Pediatrics and Infectious Diseases, Pediatrics Department, Hospital Clinico Universitario de Santiago, Santiago de Compostela, Spain.",Not available
39642325,Circulating Tumor DNA as a Prognostic Biomarker for Recurrence in Patients With Locoregional Esophagogastric Cancers With a Pathologic Complete Response.,2024-01-01,Lander EM; Aushev VN; Dutta P; Ferguson J; Sharma S; Jurdi A; Liu MC,"Minnesota Oncology Hematology PA, Minneapolis, MN.; Natera, Inc, Austin, TX.",Not available
39642282,"Interleukin-1 Blockade With RPH-104 (Goflikicept) in Patients With ST-Segment Elevation Myocardial Infarction: Secondary End Points From an International, Double-Blind, Randomized, Placebo-Controlled, Phase 2a Study.",2024-12-01,Bogin V; Grishin SA; Egorova AN; Ponomar EG; Lavrovsky Y; Samsonov MY,"Cromos Pharma, LLC, Portland, OR.; Moscow, Russia; R-Pharm JSC, Medical Department; R-Pharm Overseas Inc, La Jolla, CA.; and.",Not available
39641779,"Structure-Based Discovery of a Series of Covalent, Orally Bioavailable, and Selective BFL1 Inhibitors.",2024-12-26,Palisse A; Blokhuis A; Cogswell T; Martins BS; Riemens R; Schellekens R; Battocchio G; Jansen C; Cottee MA; Sacchetto C; van Hoek-Emmelot M; Bostock M; Lucas SCC; Ahmed S; Blackwell JH; Borjesson U; Gohlke A; Hargreaves D; van Hoeven V; Kantae V; Kupcova L; Milbradt AG; Vales J; Kinzel O,"Bioscience, Oncology, R&D, Acerta B.V., A member of the AstraZeneca Group, Oss 5349 AB, The Netherlands.; Hit Discovery, Discovery Sciences, R&D, AstraZeneca, Cambridge CB2 0AA, U.K.; Hit Discovery, Discovery Sciences, R&D, AstraZeneca, Gothenburg SE-431 83, Sweden.; Mechanistic and Structural Biology, Discovery Sciences, R&D, AstraZeneca, Cambridge CB2 0AA, U.K.; Medicinal Chemistry, Oncology, R&D, Acerta Pharma B.V., A member of the AstraZeneca Group, Oss 5349 AB, The Netherlands.",Not available
39641738,The Coming AI Revolution in Clinical Trials.,2024-11-23,Harrington RA,"Weill Cornell Medicine, New York, New York, USA.","Stanford Center for Clinical Research, Stanford University, Stanford, California, USA. Electronic address: snehashahjain@stanford.edu."
39641724,Left Anterior Descending Nonculprit Lesions and Clinical Outcomes in Patients With ST-Segment Elevation Myocardial Infarction.,2024-10-30,Schampaert E,"Hopital du Sacre-Coeur de Montreal, Universite de Montreal, Montreal, Quebec, Canada.",Not available
39641537,Use of individualized starting dose and niraparib hematologic adverse event management costs in ovarian cancer.,2025-01-01,Fabbro M; Hartman J; Booth DV,"GSK, Durham, NC 27709, USA.; GSK, Philadelphia, PA 19112, USA.; Institut Regional du Cancer de Montpellier, Montpellier, and GINECO, Paris, 34298, France.",Not available
39641521,Croplands proximity is associated with amyotrophic lateral sclerosis incidence and age at onset.,2025-01-01,Callegaro S; Grassano M,"SC Neurologia 1U, AOU Citta della Salute e della Scienza di Torino, Turin, Italy.",Not available
39641354,Geographical variation in lung function: Results from the multicentric cross-sectional BOLD study.,2025-12-31,Paraguas SNM,"Instituto de Saude Ambiental, Faculdade de Medicina, Universidade de Lisboa, Lisbon, Portugal.",Not available
39641309,Cost-utility analysis of newborn screening for spinal muscular atrophy in Japan.,2025-01-01,Uda A; Tanaka S; Toro W; Bischof M,"Novartis Gene Therapies Switzerland GmbH, Rotkreuz, Switzerland.; Novartis Gene Therapies, Inc, Bannockburn, IL, USA.; Novartis Pharma K.K, Tokyo, Japan.",Not available
39640933,"In response to: ""Innovative cellular therapies for autoimmune diseases: expert-based position statement and clinical practice recommendations from the EBMT practice harmonization and guidelines committee"" by Greco et al.",2024-01-01,Miljkovic MD,"Cartesian Therapeutics, Gaithersburg, MD, USA.",Not available
39639369,Increased spatial coupling of integrin and collagen IV in the immunoresistant clear-cell renal-cell carcinoma tumor microenvironment.,2024-12-05,Kim S; Gregory M; Mule J,"NanoString, Seattle, WA, 98109, USA.",Not available
39639015,Attenuation of skin injury by a MARCO targeting PLGA nanoparticle.,2024-12-06,Beddow S,"Cour Pharmaceutical Development Company, Northbrook, IL, USA.",Not available
39638723,Evaluation of Pharmacokinetics of Lebrikizumab in Healthy Individuals After Subcutaneous Administration Using a Prefilled Syringe or Autoinjector in a Phase 1 Randomized Study.,2024-12-04,Moser B; Xu W; Jackson K; Witcher J,"Eli Lilly and Company, Indianapolis, Indiana.","Eli Lilly and Company, Indianapolis, Indiana. Electronic address: datta_amita@lilly.com."
39638038,Clinical usefulness of an ultra-high-sensitivity hepatitis B surface antigen assay to determine the cessation of treatment for HBV reactivation.,2024-12-03,Sagi H; Kaneko A; Aoyagi K,"Advanced Life Science Institute, Inc., Hachioji, Tokyo, Japan.; Fujirebio Inc., Hachioji, Tokyo, Japan; Fujirebio Inc., Hachioji, Tokyo, Japan.",Not available
39637925,The impact of schizophrenia genetic load and heavy cannabis use on the risk of psychotic disorder in the EU-GEI case-control and UK Biobank studies.,2024-12-06,Llorca PM; de Haan L,"Departamento de Medicina Preventiva, Faculdade de Medicina, Universidade de Sao Paulo, Avenida Doutor Arnaldo 455, CEP 01246-903 Sao Paulo, Brasil.; Nucleo de Pesquina em Saude Mental Populacional, Universidade de Sao Paulo, Avenida Doutor Arnaldo 455, CEP 01246-903 Sao Paulo, Brasil.",Not available
39637881,"Efficacy and safety of filgotinib as induction and maintenance therapy for Crohn's disease (DIVERSITY): a phase 3, double-blind, randomised, placebo-controlled trial.",2024-12-02,Genovese MC; Kwon P; Santermans E; Le Brun FO; Barron R; Masior T,"Galapagos NV, Mechelen, Belgium.; Galapagos, Basel, Switzerland.; Gilead Sciences, Foster City, CA, USA.",Not available
39636838,"Safety, effectiveness and immunogenicity of heterologous mRNA-1273 boost after prime with Ad26.COV2.S among healthcare workers in South Africa: The single-arm, open-label, phase 3 SHERPA study.",2024-01-01,Diacon AH,"PHOENIX Pharma, Port Elizabeth, South Africa.",Not available
39636474,"Semi-mechanistic population pharmacokinetic modeling of DZIF-10c, a neutralizing antibody against SARS-Cov-2: predicting systemic and lung exposure following inhaled and intravenous administration.",2024-12-05,Becker S; Fatkenheuer G,"Biotherapeutics Discovery, Boehringer Ingelheim Pharmaceuticals Inc., Ridgefield, CT, 06877, USA.; Gilead, Foster City, CA, 94404, USA.","Translational Medicine and Clinical Pharmacology, Boehringer Ingelheim Pharmaceuticals Inc., 900 Ridgebury Road, Ridgefield, CT, 06877, USA. sree.kurup@boehringer-ingelheim.com."
39635338,Association Between the Development of Sensorineural Hearing Loss and Blood NAD(+) Levels.,2024-01-01,Kanzaki S,"NOMON Co. Ltd, Kasumigaseki, Chiyoda Ku, Tokyo, Japan.",Not available
39632823,Correction: Functional activity and connectivity signatures of ketamine and lamotrigine during negative emotional processing: a double-blind randomized controlled fMRI study.,2024-12-04,Wunder A; Weigand A,"SBGneuro Ltd, Oxford, UK.","Medical School Berlin, Berlin, Germany. marvin.meiering@medicalschool-berlin.de."
39632341,Efficacy and safety of lemborexant in subjects with insomnia disorder receiving medications for depression or anxiety symptoms.,2025-01-01,Kubota N; Moline M; Malhotra M; Pinner K; Yardley J,"Eisai Co., Ltd., Tokyo, Japan.; Eisai Inc., Nutley, New Jersey, USA.; Eisai Ltd., Hatfield, UK.",Not available
39632193,Projection of the clinical and economic burden of chronic kidney disease between 2022 and 2027 in Spain: Results of the Inside CKD project.,2024-01-01,Navarro Gonzalez JF; Cebrian Cuenca A; Moreno Baron M; Segu L; Pimentel B; Pomares Mallol E; Caudron C,"Acceso al Mercado, PharmaLex Spain, Barcelona, Spain.; Asociacion para la Lucha Contra las Enfermedades Renales (ALCER), Almeria, Spain.; Grupo de Atencion Primaria del Instituto Murciano de Investigacion Biosanitaria (IMIB), Murcia, Spain.; Instituto de Tecnologias Biomedicas, Universidad de La Laguna, Tenerife, Spain; Medicina Familiar y Comunitaria, Centro de Salud Cartagena Casco Antiguo, Cartagena, Spain; Medico, AstraZeneca, Madrid, Spain.; RICORS2040 (Kidney Disease), Instituto de Salud Carlos III, Madrid, Spain; Unidad de Farmacia Clinica y Farmacoterapia, Facultad de Farmacia, Universidad de Barcelona (UB), Barcelona, Spain; Unidad de Investigacion y Servicio de Nefrologia, Hospital Universitario Nuestra Senora de Candelaria, Tenerife, Spain; Universidad Fernando Pessoa Canarias, Las Palmas de Gran Canaria, Spain.",Not available
39632100,Differences in uni-dimensional breathlessness measures and thresholds for clinical response in a randomised controlled trial in people with chronic breathlessness: an exploratory study.,2024-12-04,Louw S; McCloud P,"McCloud Consulting Group, Sydney, New South Wales, Australia.",Not available
39631753,Leitlinie der Gesellschaft fur Thrombose- und Hamostaseforschung (GTH) zur Struktur- und Prozessqualitat von Hamophilie-Zentren.,2024-12-04,Eichler H; Albisetti M,"Institut fur Klinische Hamostaseologie und Transfusionsmedizin, Universitat und Universitatsklinikum des Saarlandes, Homburg/Saar, Germany.; Medizinische Poliklinik und Tagesklinik, Universitats-Kinderspital Zurich, Zurich, Switzerland.",Not available
39631193,Contemporary assessment of short- and functional 90-days outcome in old intensive care patients suffering from COVID-19.,2024-12-03,Moreno R,"Faculdade de Ciencias da Saude, Uniuversidade da Beira Interior, Covilha, Portugal.; Hospital de Sao Jose, Unidade Local de Saude Sao Jose, Centro Clinico Academico de Lisboa (CCAL), Lisboa, Portugal",Not available
39631175,The role of childhood maltreatment and mental health disorders on suicidal behaviour in adolescents.,2025-01-01,Gomez-Vallejo S; Diaz-Marsa M; Bobes-Bascaran T; Cebria AI; Crespo Facorro B; Garrido-Torres N; Jimenez-Tevino L; Lara E; Palao DJ; Perez V; Ruiz-Veguilla M; Saiz PA; Sanchez-Carro Y; de la Torre-Luque A; Vieta E; Roberto N; Grande I; Bobes J; Lazaro L; Bracco L; Corbalan F; Fares N,"Bipolar and Depressive Disorders Unit, Hospital Clinic de Barcelona, c. Villarroel, 170, 08036 Barcelona, Spain.; Centro de Investigacion Biomedica en Red de Salud Mental (CIBERSAM), Instituto de Salud Carlos III, Madrid, Spain; Centro de Investigacion Biomedica en Red de Salud Mental (CIBERSAM), Instituto de Salud Carlos III, Madrid, Spain.; Departament de Medicina, Facultat de Medicina i Ciencies de la Salut, Institut de Neurociencies, Universitat de Barcelona (UB), c. Casanova, 143, 08036 Barcelona, Spain; Department of Child and Adolescent Psychiatry and Psychology, Hospital Clinic of Barcelona, Barcelona, Spain; Department of Clinical and Health Psychology, Faculty of Psychology, Universitat Autonoma de Barcelona, 08193 Cerdanyola del Valles, Spain.; Department of Legal Medicine, Psychiatry and Pathology. School of Medicine, Universidad Complutense de Madrid, Madrid, Spain; Department of Legal Medicine, Psychiatry and Pathology. School of Medicine, Universidad Complutense de Madrid, Madrid, Spain.; Department of Psychiatry and Forensic Medicine, Faculty of Medicine, Universitat Autonoma de Barcelona, 08193 Cerdanyola del Valles, Spain.; Department of Psychiatry, Universidad Autonoma de Madrid (UAM), Madrid, Spain.; Department of Psychology, Faculty of Psychology, Universidad Complutense de Madrid, Spain.; Department of Psychology, Universidad de Oviedo, Oviedo, Spain; Hospital Clinico San Carlos, Madrid, Spain.; Hospital Virgen del Rocio de Sevilla, Sevilla, Spain.; Institut d'Investigacions Biomediques August Pi i Sunyer (IDIBAPS), c. Villarroel, 170, 08036 Barcelona, Spain; Instituto Universitario de Neurociencias del Principado de Asturias (INEUROPA), Oviedo, Spain; Instituto de Investigacion Sanitaria del Principado de Asturias (ISPA), Oviedo, Spain; Instituto de Salud Mental, Hospital del Mar, Hospital del Mar Research Institute, IMIM, Barcelona, Spain.; Mental Health Service, Hospital Universitari Parc Tauli, Sabadell, Barcelona, Spain; Servicio de Salud del Principado de Asturias (SESPA), Oviedo, Spain.; Unitat Mixta de Neurociencia Traslacional I3PT-INc-UAB, 08208 Sabadell, Barcelona, Spain",Not available
39630604,"Discovery of ART0380, a Potent and Selective ATR Kinase Inhibitor Undergoing Phase 2 Clinical Studies for the Treatment of Advanced or Metastatic Solid Cancers.",2024-12-26,Ding Y; Fang C; Li M; Lv X,"ChemPartner Corporation, Shanghai 201203, China.",Not available
39630427,Best Practices for Delivering Neoadjuvant Therapy in Pancreatic Ductal Adenocarcinoma.,2024-12-04,Bloomston M; Lee RT; Sundaresan TK,"City of Hope, Orange County, California.; Kaiser Permanente, San Francisco, California.; South Florida Surgical Oncology, Fort Myers.",Not available
39630385,Burden of Myasthenia Gravis in the Czech Republic: Analysis of the Nationwide Patient Registry.,2024-12-04,Hajek P,"CEEOR S.R.O., Prague, Czech Republic.",Not available
39630157,Phenylalanine hydroxylase deficiency diagnosis and management: A 2023 evidence-based clinical guideline of the American College of Medical Genetics and Genomics (ACMG).,2025-01-01,Brown C,"Astellas Pharma, Northbrook, IL.; National PKU Alliance, Washington, DC",Not available
39630115,Robuvit(R) supplementation reduces progression of non-alcoholic fatty liver disease in elderly subjects.,2024-12-04,Cesarone MR; Belcaro G; Cox D; Gizzi G; Pellegrini L; Scipione C; Scipione V; Coppazuccari F; Dugall M; Hu S; Orsini L; Corsi M,"Irvine3 Labs &amp; San Valentino Vascular Screening Project and IA-PSS (International Agency for Pharma-Standard Supplements) Pescara, Italy.",Not available
39630083,"Long-Term Safety, Tolerability, and Durability of Treatment Effect of Olanzapine and Samidorphan: Results of a 4-Year Open-Label Study.",2024-12-04,Dunbar M,"Biostatistics, Alkermes, Inc, Waltham, Massachusetts.",Not available
39629079,Identifying and overcoming challenges in the EMA's qualification of novel methodologies: a two-year review.,2024-01-01,Vetter T; Ehmann F,"European Medicines Agency, Amsterdam, Netherlands.",Not available
39627568,BMP-9 mediates fibroproliferation in fibrodysplasia ossificans progressiva through TGF-beta signaling.,2024-12-03,Ikeya M,"Takeda-CiRA Joint Program, Fujisawa, Kanagawa, Japan.","Laboratory of Skeletal Development and Regeneration, Key Laboratory of Clinical Laboratory Diagnostics (Ministry of Education), College of Laboratory Medicine, Chongqing Medical University, Chongqing, 400016, China. chengzhu.zhao@cqmu.edu.cn."
39627502,Synthetic lethal strategies for the development of cancer therapeutics.,2025-01-01,Nardo M,"Repare Therapeutics, Inc., Montreal, Quebec, Canada.",Not available
39627164,Determining Targets for Antiretroviral Drug Concentrations: A Causal Framework Illustrated With Pediatric Efavirenz Data From the CHAPAS-3 Trial.,2024-01-01,Diaz I,"Novartis Pharma AG, Basel, Switzerland.",Not available
39627155,A digital therapy targeting anxiety in pulmonary fibrosis: A decentralized randomized controlled trial.,2024-12-03,Ganslandt C; Shull JG; Bengtsson T; Ganslandt J,"Vicore Pharma, Stockholm, Sweden.",Not available
39626832,MRI management of NMOSD and MOGAD: Proposals from the French Expert Group NOMADMUS.,2024-12-01,Shor N; Cohen M; Kremer S,"CRC-SEP, Neurologie Pasteur 2, CHU de Nice, Nice, France; Engineering Science, Computer Science and Imaging Laboratory (ICube), Integrative Multimodal Imaging in Healthcare, UMR 7357, University of Strasbourg-CNRS, Strasbourg, France.; Service d'imagerie 2, Hopital de Hautepierre, Hopitaux Universitaires de Strasbourg, Strasbourg, France; Service de Neuroradiologie, Hopital de la Pitie-Salpetriere, AP-HP, Paris, France.; Universite Cote d'Azur, UMR2CA (URRIS), Nice, France.","Creatis LRMN, CNRS UMR 5220, Universite Claude Bernard Lyon 1, INSERM U630, Lyon, France. Electronic address: francoise.durand-dubief@chu-lyon.fr."
39626570,"Sex-stratified mortality estimates in people with schizophrenia: A systematic review and meta-analysis of cohort studies of 2,700,825 people with schizophrenia.",2024-12-02,Koyanagi A,"ICREA, Pg. Lluis Companys 23, Barcelona 08010, Spain.; Research and Development Unit, Parc Sanitari Sant Joan de Deu, CIBERSAM, ISCIII, Dr. Antoni Pujadas, 42, Sant Boi de Llobregat 08830, Barcelona, Spain","Department of Child and Adolescent Psychiatry, Charite Universitatsmedizin, Berlin, Germany. Electronic address: msolmi@toh.ca."
39626377,"OM-85 attenuates high-fat diet-induced obesity, insulin resistance, gut dysbiosis and nonalcoholic steatohepatitis in a murine model.",2024-01-01,Manuel CR; Koya J,"Meso Scale Diagnostics, Rockville, MD, USA.; Sanofi, Ridgefield, NJ, USA.",Not available
39624955,"Persistent symptoms, exacerbations and drug side effects despite treatment in myasthenia gravis.",2025-01-01,Reyes-Leiva D; Carbayo A; Rojas-Garcia R; Querol L; Pla-Junca F; Olive M; Pujades-Rodriguez M; Cortes-Vicente E,"Centro de Investigacion Biomedica en Red de Enfermedades Raras (CIBERER, Valencia, Spain.; Neuromuscular Diseases Unit, Department of Neurology, Hospital de la Santa Creu i Sant Pau; and Institut de Recerca Sant Pau, IR-SantPau, Barcelona, Spain.",Not available
39624750,"Gender differences in melanoma awareness, diagnosis and treatment: Patient-reported data from a multicentre survey in Switzerland.",2024-01-01,Pasche N; Siegenthaler B; Dummer R; Del Prete V,Novartis Pharma Schweiz AG Risch-Rotkreuz Switzerland.,Not available
39624731,Safety and efficacy of ruxolitinib cream for the treatment of vitiligo: A randomised controlled trial secondary analysis at 3 years.,2024-01-01,Butler K; Rosmarin D,Incyte Corporation Wilmington Delaware USA.,Not available
39624651,The Association Between Patient-Reported Disease Burden and Treatment Switching in Patients with Plaque Psoriasis Treated with Nonbiologic Systemic Therapy.,2024-01-01,Patel V; Park SH; Zhong Y; Sima AP; Zhuo J; Roberts-Toler C; Becker B; Hovland S,"Bristol Myers Squibb, Princeton, NJ, USA.; CorEvitas, LLC, Waltham, MA, USA.",Not available
39624387,Acute exacerbations in patients with progressive pulmonary fibrosis.,2024-01-01,Rohr KB,"Boehringer Ingelheim Pharma GmbH & Co. KG, Ingelheim am Rhein, Germany.",Not available
39624360,Editorial: Pain Medicine Training in Latin America.,2024-01-01,Rojas-Gareca W; Carcamo-Quezada CR; Godinez Ortiz L,"Aliviar: Centro Especializado en Dolor, Santa Cruz, Bolivia.; Centro Integral Para Manejo Del Dolor. Instituto Salvadoreno de Bienestar Magisterial, San Salvador, El Salvador.; Centro Medico Villegas, Buenos Aires, Argentina.",Not available
39623757,Use of advanced systemic therapy in patients with moderate-to-severe atopic dermatitis in the TARGET-DERM AD Registry.,2024-01-01,Knapp KD; Claxton A; Munoz B; Crawford JM; Balu S; Kim Y; Schneider S; Bagel J,"LEO Pharma New Jersey, Madison, NJ, USA.; Target RWE, Durham, NC, USA.; Windsor Dermatology, East Windsor, NJ, USA.",Not available
39623527,"Effects of a novel GABA-B positive allosteric modulator, ASP8062, on alcohol cue-elicited craving and naturalistic alcohol consumption in a multisite randomized, double-blind, placebo-controlled trial.",2024-01-01,Scott C; Ransom J; Alsharif N; Ito M,"Astellas Pharma Global Development Inc., Northbrook, Illinois, USA.; Fast-Track Drugs & Biologics, LLC, Poolesville, Maryland, USA.",Not available
